Modèle,Jeu,Sortie,MAE,RMSE,R²,Temps entraînement (s),Post-traitement physique
Baseline moyenne (référence),Validation,Solid_Yield_pct,3.545396749999999,4.292806496792775,-0.0037463967465096726,0.0,Non
Baseline moyenne (référence),Validation,Liquid_Yield_pct,2.693551499999998,3.348815835322427,-0.0028161252737137765,0.0,Non
Baseline moyenne (référence),Validation,Gas_Yield_pct,1.7709529999999998,2.243902421877175,-0.0014663427027425957,0.0,Non
Baseline moyenne (référence),Validation,HBr_pct,0.75925,0.9524695615215218,-2.2074631111257403e-05,0.0,Non
Baseline moyenne (référence),Validation,Br2_pct,0.05533100000000001,0.06724794141830663,-0.0005145233586136833,0.0,Non
Baseline moyenne (référence),Validation,HCl_pct,0.09538124999999999,0.12056180015348975,-0.0024108412544938673,0.0,Non
Baseline moyenne (référence),Validation,Cl2_pct,0.034417,0.04150111444286768,-0.00017566374764821369,0.0,Non
Baseline moyenne (référence),Validation,HF_pct,0.0081515,0.010263900635236101,-0.007533055183627013,0.0,Non
Ridge polynomial Optuna,Test,Solid_Yield_pct,3.0735879233471888,3.8089943377750592,0.25994936713925776,43.90283810161054,Non
Ridge polynomial Optuna,Test,Liquid_Yield_pct,2.6090746867576553,3.1697350291646726,0.17798747932813574,43.7534887008369,Non
Ridge polynomial Optuna,Test,Gas_Yield_pct,1.5290856307111893,1.9319656312987343,0.19712458531666333,43.242252599447966,Non
Ridge polynomial Optuna,Test,HBr_pct,0.28616210665167674,0.3567873665639313,0.8861436167432019,44.280262500047684,Non
Ridge polynomial Optuna,Test,Br2_pct,0.021338903380025916,0.026127830577596343,0.8420707190153176,43.054511699825525,Non
Ridge polynomial Optuna,Test,HCl_pct,0.038181462065677844,0.04880424338517137,0.8687232319872483,42.70159360021353,Non
Ridge polynomial Optuna,Test,Cl2_pct,0.012989946579535328,0.017302582335164456,0.8198636817581981,43.253209199756384,Non
Ridge polynomial Optuna,Test,HF_pct,0.0055559339922928615,0.007015387586887871,0.6687821320798141,42.5226129014045,Non
Extra Trees Optuna,Test,Solid_Yield_pct,3.0971704740784487,3.9130660256991483,0.218956662744631,494.01694650016725,Non
Extra Trees Optuna,Test,Liquid_Yield_pct,2.560873792973382,3.2272145762943216,0.14790464297813655,441.196365499869,Non
Extra Trees Optuna,Test,Gas_Yield_pct,1.5509155842931905,1.9442523905401852,0.18687998754536184,637.9624467007816,Non
Extra Trees Optuna,Test,HBr_pct,0.2939224372197344,0.3620035555491833,0.8827901473333264,488.58110830001533,Non
Extra Trees Optuna,Test,Br2_pct,0.020164915840204398,0.024887950105615488,0.8567039528478051,452.83839840069413,Non
Extra Trees Optuna,Test,HCl_pct,0.03824558114106059,0.04957453999726108,0.8645465429469945,484.4552899003029,Non
Extra Trees Optuna,Test,Cl2_pct,0.01307717645384386,0.017218118861044324,0.8216180791877962,643.8985788989812,Non
Extra Trees Optuna,Test,HF_pct,0.005240190361009665,0.006793208154166675,0.6894294567209327,537.3193811010569,Non
MLP Optuna,Test,Solid_Yield_pct,3.1715806707927907,3.960552745614087,0.19988505369211174,570.0596524998546,Non
MLP Optuna,Test,Liquid_Yield_pct,2.6508740211631676,3.2718790140941976,0.12415554184504629,985.7055472992361,Non
MLP Optuna,Test,Gas_Yield_pct,1.5669822926586066,1.9701140202355683,0.16510455794732648,1234.4753761012107,Non
MLP Optuna,Test,HBr_pct,0.3176353496019694,0.3946610207496705,0.8606885163655242,1828.8237568996847,Non
MLP Optuna,Test,Br2_pct,0.021382618785891882,0.02676331574279352,0.8342949320781153,1937.5861499998719,Non
MLP Optuna,Test,HCl_pct,0.03950032753060832,0.04970342622923664,0.8638413107908631,1271.254323700443,Non
MLP Optuna,Test,Cl2_pct,0.013817683409785836,0.018129595098838224,0.8022321725866934,1295.0007117018104,Non
MLP Optuna,Test,HF_pct,0.00547628844814629,0.007077064394684918,0.6629326304157952,1376.4042849000543,Non
Hybride 2 branches MLP + XGBoost Optuna,Test,Solid_Yield_pct,3.159436472637842,3.891437995903958,0.22756666069679166,1092.6487408988178,Non
Hybride 2 branches MLP + XGBoost Optuna,Test,Liquid_Yield_pct,2.6070123309596136,3.2300022085778366,0.1464319460991702,887.5697696991265,Non
Hybride 2 branches MLP + XGBoost Optuna,Test,Gas_Yield_pct,1.5491487855885444,1.9468601165161465,0.1846973324782164,2200.3937922008336,Non
Hybride 2 branches MLP + XGBoost Optuna,Test,HBr_pct,0.2990403183432758,0.3655321047439732,0.8804940573198272,2097.3347695004195,Non
Hybride 2 branches MLP + XGBoost Optuna,Test,Br2_pct,0.020231748270583255,0.025029498201022595,0.8550693495809241,1962.875526400283,Non
Hybride 2 branches MLP + XGBoost Optuna,Test,HCl_pct,0.03787805516000471,0.04868122530778762,0.8693842016501772,1507.580580201,Non
Hybride 2 branches MLP + XGBoost Optuna,Test,Cl2_pct,0.012952433551902162,0.017097353344003287,0.824111596326205,734.598574899137,Non
Hybride 2 branches MLP + XGBoost Optuna,Test,HF_pct,0.0055537831876133455,0.007036136243865318,0.6668200199055445,862.4747058991343,Non
