model,target,metric,aggregation_unit,n_repeats,mean,std,se,ci95_low,ci95_high
Prédicteur naïf (moyenne),Gas_Yield_pct,r2,répétition OOF complète,5,-0.00148662493180402,0.0003364439381025078,0.0001504623032429878,-0.0019043752571597996,-0.0010688746064482404
Prédicteur naïf (moyenne),HBr_pct,mae,répétition OOF complète,5,0.8340641449999999,5.8400819771676265e-05,2.6117640590236374e-05,0.8339916308046238,0.834136659195376
Prédicteur naïf (moyenne),HBr_pct,rmse,répétition OOF complète,5,1.0058293236577789,0.00010836936507517535,4.8464253397316736e-05,1.0056947653186568,1.005963881996901
Prédicteur naïf (moyenne),HBr_pct,r2,répétition OOF complète,5,-0.0002576506520277378,0.00021555091111741796,9.639729797411234e-05,-0.0005252924581422552,9.99115408677957e-06
Prédicteur naïf (moyenne),HCl_pct,mae,répétition OOF complète,5,0.10760560999999993,3.379145602084295e-06,1.5111998544259876e-06,0.10760141423656114,0.10760980576343873
Prédicteur naïf (moyenne),HCl_pct,rmse,répétition OOF complète,5,0.13121421170786507,1.020928176075746e-05,4.5657296037004845e-06,0.1312015352102552,0.13122688820547493
Prédicteur naïf (moyenne),HCl_pct,r2,répétition OOF complète,5,-0.00027060766076695257,0.00015565450875117804,6.961081251439399e-05,-0.00046387826044138307,-7.733706109252207e-05
Prédicteur naïf (moyenne),HF_pct,mae,répétition OOF complète,5,0.009485465,1.3487957591865542e-06,6.031998010609143e-07,0.009483790248864888,0.009487139751135113
Prédicteur naïf (moyenne),HF_pct,rmse,répétition OOF complète,5,0.01155232657105384,9.973225634876373e-07,4.460162094905413e-07,0.01155108823153216,0.011553564910575518
Prédicteur naïf (moyenne),HF_pct,r2,répétition OOF complète,5,-0.00042166416791581995,0.00017272797257718414,7.724629765966066e-05,-0.0006361342729476365,-0.00020719406288400335
Prédicteur naïf (moyenne),Liquid_Yield_pct,mae,répétition OOF complète,5,2.665370935,0.004947205988250935,0.002212457777684623,2.6592281674326905,2.6715137025673092
Prédicteur naïf (moyenne),Liquid_Yield_pct,rmse,répétition OOF complète,5,3.3515352059177643,0.003738495899001927,0.0016719061927544991,3.346893250152541,3.3561771616829876
Prédicteur naïf (moyenne),Liquid_Yield_pct,r2,répétition OOF complète,5,-0.00421736876005076,0.0022408999616232565,0.0010021609289932543,-0.006999813565974554,-0.001434923954126966
Prédicteur naïf (moyenne),Solid_Yield_pct,mae,répétition OOF complète,5,3.3015919449999998,0.003725038278721105,0.00166588776200184,3.2969666990773807,3.306217190922619
Prédicteur naïf (moyenne),Solid_Yield_pct,rmse,répétition OOF complète,5,4.171453790355779,0.004397924071114619,0.001966811436578981,4.165993046369842,4.176914534341716
Prédicteur naïf (moyenne),Solid_Yield_pct,r2,répétition OOF complète,5,-0.00352814253028972,0.0021168053822289788,0.0009466641459602843,-0.0061565035646074006,-0.0008997814959720392
Ridge polynomial Optuna,Br2_pct,mae,répétition OOF complète,5,0.02020123572924052,8.998291019499718e-05,4.024158080185451e-05,0.02008950718919779,0.02031296426928325
Ridge polynomial Optuna,Br2_pct,rmse,répétition OOF complète,5,0.025906757085629985,8.085686878961784e-05,3.6160291012273327e-05,0.02580636002264643,0.02600715414861354
Ridge polynomial Optuna,Br2_pct,r2,répétition OOF complète,5,0.8621243749367309,0.0008607216896927032,0.00038492644157227284,0.8610556478021664,0.8631931020712954
Ridge polynomial Optuna,Cl2_pct,mae,répétition OOF complète,5,0.013102284474845422,2.5740742719777276e-05,1.151161010255096e-05,0.013070323121323248,0.013134245828367596
Ridge polynomial Optuna,Cl2_pct,rmse,répétition OOF complète,5,0.017267987034460298,5.6375566626538063e-05,2.521191984940152e-05,0.01719798752300179,0.017337986545918806
Ridge polynomial Optuna,Cl2_pct,r2,répétition OOF complète,5,0.833443081324557,0.0010883151949035812,0.000486709351350068,0.8320917595283471,0.8347944031207669
Ridge polynomial Optuna,Gas_Yield_pct,mae,répétition OOF complète,5,1.5822914799087897,0.0069474818906624805,0.0031070083559940134,1.5736650417669815,1.590917918050598
Ridge polynomial Optuna,Gas_Yield_pct,rmse,répétition OOF complète,5,1.9619244090818326,0.0053541947124004854,0.0023944686683394843,1.955276298268072,1.9685725198955932
Ridge polynomial Optuna,Gas_Yield_pct,r2,répétition OOF complète,5,0.16814793687307922,0.00454473905503213,0.00203246909341,0.16250489800721524,0.1737909757389432
Ridge polynomial Optuna,HBr_pct,mae,répétition OOF complète,5,0.2632000433503169,0.0003857389073857272,0.00017250768369619633,0.26272108523630955,0.2636790014643242
Ridge polynomial Optuna,HBr_pct,rmse,répétition OOF complète,5,0.3381649614049872,0.0006880805940719054,0.00030771899646864383,0.33731059650346545,0.33901932630650894
Ridge polynomial Optuna,HBr_pct,r2,répétition OOF complète,5,0.8869366253168544,0.000460230857442283,0.00020582149651679195,0.8863651732303058,0.8875080774034029
Ridge polynomial Optuna,HCl_pct,mae,répétition OOF complète,5,0.04012983292510443,0.0001024663171009645,4.582433008836116e-05,0.04000260418813163,0.04025706166207722
Ridge polynomial Optuna,HCl_pct,rmse,répétition OOF complète,5,0.05254474901551916,0.00015030563755801522,6.72187245962335e-05,0.0523581199166363,0.05273137811440201
Ridge polynomial Optuna,HCl_pct,r2,répétition OOF complète,5,0.839595244047263,0.0009177592919372003,0.00041043443275073086,0.8384556953754476,0.8407347927190785
Ridge polynomial Optuna,HF_pct,mae,répétition OOF complète,5,0.00507785117304212,1.1944052579499961e-05,5.341542698918724e-06,0.005063020672961502,0.005092681673122738
Ridge polynomial Optuna,HF_pct,rmse,répétition OOF complète,5,0.00646528261968862,9.86252203174251e-06,4.410653938513118e-06,0.006453036681150314,0.006477528558226926
Ridge polynomial Optuna,HF_pct,r2,répétition OOF complète,5,0.6866569927442204,0.0009557272543646772,0.0004274142217417301,0.6854703006203737,0.6878436848680671
Ridge polynomial Optuna,Liquid_Yield_pct,mae,répétition OOF complète,5,2.436556069614163,0.005053602336954731,0.002260039671336515,2.430281193531128,2.4428309456971977
Ridge polynomial Optuna,Liquid_Yield_pct,rmse,répétition OOF complète,5,3.031330153594555,0.003220260055028439,0.0014401440776541604,3.0273316726193724,3.0353286345697374
Ridge polynomial Optuna,Liquid_Yield_pct,r2,répétition OOF complète,5,0.17850183810136822,0.001746533300391598,0.0007810734369285347,0.17633323058060796,0.18067044562212847
