scenario_id,Concentration_liquide_chimique_kg,Temperature_C,Temps_reaction_min,Heating_rate_C_min,Taille_particules_mm,Solid_Yield_pct,Liquid_Yield_pct,Gas_Yield_pct,HBr_pct,Br2_pct,HCl_pct,Cl2_pct,HF_pct,Toxicity_Index_pct,Valuable_Yield_pct,model,pareto_nondominated
14,55.69640161262272,407.30591970268205,22.32807444165025,14.871575173135001,2.63,30.08258692170554,52.3570315686648,17.560381509629657,1.2994120829736016,0.08998812381137838,0.15289717095908767,0.030927772651675768,0.016342521069713307,1.5895676714654565,69.91741307829446,Sélection automatique par sortie,False
15,46.68183835234914,445.0359419213775,24.1680240150895,17.330127794662985,3.35,28.012564051231752,53.787657482762555,18.199778466005686,1.7579919869301626,0.11884635471165375,0.22099845855323122,0.04768967483583113,0.0201068161002512,2.16563329113113,71.98743594876824,Sélection automatique par sortie,False
16,40.069494725250635,435.2256901423545,15.777941336899364,11.72753429177489,2.69,28.501141214250865,54.334286677358875,17.164572108390256,1.5955248963516724,0.10968609953769771,0.19286557260074041,0.0420671301425387,0.017118121644584972,1.9572618202772343,71.49885878574914,Sélection automatique par sortie,False
17,34.87398464308572,471.2576348394492,19.0,14.032571577077537,1.99,26.038006926916037,55.78899033847906,18.173002734604907,2.026689456181008,0.13618989232184037,0.25625548419291366,0.059554660357866426,0.02089997821122146,2.4995894712648496,73.96199307308396,Sélection automatique par sortie,False
18,34.84387100499694,491.82,13.363280358707202,27.7444501853858,2.42,23.113624534155807,56.56251763767734,20.323857828166854,2.128314293202924,0.14208128122194133,0.2619553917103828,0.06296320157177526,0.023486429833898544,2.618800597540922,76.8863754658442,Sélection automatique par sortie,False
19,70.70674223642469,485.46674567459155,18.04,7.214249363036357,0.6901899360969389,27.645469772733435,54.68911597002035,17.665414257246198,2.7100611162609702,0.19717592448144988,0.3319112270876248,0.0891716343458951,0.029465406162289803,3.35778530833823,72.35453022726655,Sélection automatique par sortie,False
20,58.78063318115724,545.325980686305,21.5271983728117,27.93031194320064,3.19,22.311327717656194,56.51810419292503,21.170568089418758,3.3420352138652674,0.22524575082338072,0.3723502633651934,0.10960701285333668,0.03493510528829315,4.084173346195472,77.68867228234379,Sélection automatique par sortie,False
21,27.23396262769798,407.03005139013163,27.197239354458347,13.86,0.68,28.49202593104746,55.14058948275349,16.367384586199044,1.3531208966958483,0.09212986364707881,0.1323578308386391,0.02590662618858923,0.010504524870210747,1.6140197422403662,71.50797406895254,Sélection automatique par sortie,False
22,63.31,392.9577263342972,26.173427341514586,11.06,1.93,31.33983340107003,51.636615543806414,17.02355105512355,1.1025851700962688,0.07890714212417045,0.13575955077894622,0.024629843960857475,0.017818794356244692,1.3597005013164876,68.66016659892996,Sélection automatique par sortie,False
23,57.34,506.6685782065305,27.97515165228013,15.700152240120715,2.6247256925616465,25.71399234257033,55.42799619123811,18.858011466191563,2.81274252666328,0.19111041503732623,0.3432041621596511,0.09102666683033102,0.029923761029043473,3.4680075317196324,74.28600765742968,Sélection automatique par sortie,False
