model,input,input_value,normalized_level,Solid_Yield_pct,Liquid_Yield_pct,Gas_Yield_pct,HBr_pct,Br2_pct,HCl_pct,Cl2_pct,HF_pct,Toxicity_Index_pct,Valuable_Yield_pct
Sélection automatique par sortie,Temperature_C,361.92036666666667,0.03333333333333333,31.23382015019216,51.590634170241096,17.17554567956674,0.7243806300781221,0.049933426745217904,0.09264334752716258,0.007797917311676526,0.010537558173242078,0.8852928798354213,68.76617984980783
Sélection automatique par sortie,Temperature_C,368.4457333333333,0.06666666666666667,30.97424195949022,51.78879248944906,17.23696555106071,0.8034221380985702,0.055235709733339244,0.10599571167887867,0.010848750014425944,0.011125410030370991,0.9866277195555851,69.02575804050977
Sélection automatique par sortie,Temperature_C,374.9711,0.1,30.715556414506203,51.993645907781435,17.290797677712362,0.8831671776847112,0.06058723515326882,0.11733137035539659,0.01393984017748847,0.011769436521356104,1.0867950598922211,69.28444358549379
Sélection automatique par sortie,Temperature_C,381.49646666666666,0.13333333333333333,30.463059865349287,52.21447164895772,17.32246848569301,0.9636157488365444,0.06598800300500648,0.12147536786102447,0.017071187800864078,0.012366523024915584,1.1805168305283549,69.53694013465073
Sélection automatique par sortie,Temperature_C,388.0218333333333,0.16666666666666666,30.208456822668985,52.43742606072305,17.35411711660796,1.0447678515540697,0.07143801328855232,0.13028814777594994,0.020242792884552788,0.012976916146633722,1.2797137216497585,69.79154317733101
Sélection automatique par sortie,Temperature_C,394.5472,0.2,29.951737085580834,52.66251876630292,17.385744148116242,1.1266234858372879,0.07693726600390634,0.1357776185959901,0.023454655428554586,0.013575947189976461,1.3763689730557154,70.04826291441915
Sélection automatique par sortie,Temperature_C,401.07256666666666,0.23333333333333334,29.680359501373225,52.86743925351775,17.452201245109013,1.209182651686199,0.08248576115106854,0.1427731184931555,0.026706775432869506,0.014236997672386831,1.4753853044356795,70.31964049862677
Sélection automatique par sortie,Temperature_C,407.5979333333333,0.26666666666666666,29.405235738426544,53.07102299430745,17.52374126726599,1.2924453491008019,0.08808349873003885,0.1550496353129615,0.029999152897497487,0.01487744384685747,1.5804550798881571,70.59476426157343
Sélection automatique par sortie,Temperature_C,414.1233,0.3,29.11183629428271,53.24658368444215,17.641580021275146,1.376411578081098,0.09373047874081737,0.1714403644616965,0.033331787822438584,0.015522090211003797,1.690436299317054,70.88816370571729
Sélection automatique par sortie,Temperature_C,420.64866666666666,0.3333333333333333,28.816207794705562,53.42266863334866,17.761123571945795,1.4610813386270867,0.09942670118340406,0.17663967222594265,0.03670468020769279,0.01647900976746143,1.7903314020115875,71.18379220529445
Sélection automatique par sortie,Temperature_C,427.17403333333334,0.36666666666666664,28.51891701445199,53.600305822572935,17.880777162975082,1.546454630738768,0.10517216605779892,0.18288808521273656,0.04011783005326009,0.01717634670101325,1.891809058763577,71.48108298554801
Sélection automatique par sortie,Temperature_C,433.69939999999997,0.4,28.219961652925758,53.77949625729592,18.00054208977832,1.6325314544161411,0.11096687336400188,0.193700836063036,0.04357123735914045,0.018043910588012003,1.9988143117903314,71.78003834707424
Sélection automatique par sortie,Temperature_C,440.22476666666665,0.43333333333333335,27.919378398507487,53.96031640174667,18.12030519974584,1.7193118096592077,0.11681082310201306,0.2096938275552543,0.04706490212533396,0.01885755694905497,2.1117389193908638,72.08062160149251
