scenario_id,Concentration_liquide_chimique_kg,Temperature_C,Temps_reaction_min,Heating_rate_C_min,Taille_particules_mm,Solid_Yield_pct,Liquid_Yield_pct,Gas_Yield_pct,HBr_pct,Br2_pct,HCl_pct,Cl2_pct,HF_pct,Toxicity_Index_pct,Valuable_Yield_pct,model,pareto_nondominated
1733,22.342099495956464,366.96167695476146,22.04,18.56276178110074,1.9733888625314762,29.430266741186426,54.0354271025029,16.534306156310663,0.7867685930012893,0.051611183783121656,0.09562176885394272,0.008125033145129086,0.008434500455380356,0.9505610792388632,70.56973325881356,Sélection automatique par sortie,True
973,24.56464636598004,366.925682345673,29.465840210289475,22.359947434626253,2.11,28.7678699846936,53.973360686302286,17.258769329004114,0.7887335763912198,0.05564001672510917,0.09756199037938149,0.008478745745752858,0.008221364173641289,0.9586356934151046,71.2321300153064,Sélection automatique par sortie,True
2400,26.025767434350417,366.66359744564534,13.419517282915061,23.29239874590381,1.16,28.19687308790785,53.458281608215145,18.34484530387701,0.7958893945948451,0.05496978690430479,0.1010596461184835,0.010569865484541488,0.009202235006920566,0.9716909281090954,71.80312691209215,Sélection automatique par sortie,True
2012,21.998854797480487,365.5351950615835,27.730990008337407,22.345336405336983,0.9987597792832732,28.246931497252877,54.51077570986672,17.242292792880395,0.8141259564554719,0.059095391306818776,0.09327705919961024,0.009363533381259538,0.007450077432735052,0.9833120177758955,71.75306850274711,Sélection automatique par sortie,True
1587,21.247646303637335,375.8380066124213,17.72090030521136,18.48645885839031,2.93,29.43646713180727,53.87184063535077,16.691692232841962,0.8356879361037797,0.054867313444845495,0.10097624724963916,0.010544651878092719,0.009695045904389441,1.0117711945807464,70.56353286819274,Sélection automatique par sortie,True
2165,22.417809203864202,376.5967769916863,22.903997101737524,23.401137368283575,2.3160379557478508,28.199593849223394,54.140967117392556,17.659439033384064,0.8514222734990013,0.05772398471310067,0.08889102606330915,0.012378743469157523,0.009262668490168298,1.0196786962347368,71.80040615077662,Sélection automatique par sortie,True
1533,26.37801984468859,383.59400375904926,15.93,27.218239218405742,2.8107766987720617,27.774690018135317,53.638295911158494,18.58701407070619,0.8784132564264404,0.058379017519007065,0.09853220499655044,0.014616656880657934,0.010693626695341641,1.0606347625179975,72.22530998186468,Sélection automatique par sortie,True
935,22.402946651344866,386.0137455036555,19.581879724032113,26.00552165829888,1.76,27.089342275189217,54.54970096155777,18.360956763253018,0.9317381000739877,0.0635753226826255,0.10302635405277366,0.01700082071864701,0.010128992127082365,1.1254695896551161,72.91065772481079,Sélection automatique par sortie,True
1248,21.437180252817686,393.47888394552854,17.841097946872974,26.553849779832888,3.45,27.46966356686288,54.1537874601369,18.376548973000226,0.9443002891898917,0.06326284066667631,0.10169759169506332,0.016881070487665538,0.01115925247777165,1.1373010445170686,72.53033643313712,Sélection automatique par sortie,True
608,22.035179633353334,382.71018032284724,27.04028512645342,24.230257624863416,1.57,27.378402832051336,54.881934799047556,17.739662368901108,0.9578503435189853,0.06719103835117883,0.1154708664007914,0.015998921773117715,0.00935029710635497,1.1658614671504284,72.62159716794866,Sélection automatique par sortie,True
